,corp_code,stock_code,corp_cls,corp_name,sector,product
863,00126779,006110,Y,삼아알미늄,1차 비철금속 제조업,"알루미늄박지,은박지,은박가공품,알페이스트 제조,도매,수출"
864,00126788,009300,K,삼아제약,의약품 제조업,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘"
865,00896285,145990,Y,삼양사,기타 식품 제조업,설탕
866,00126955,003230,Y,삼양식품,기타 식품 제조업,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매"
867,00992543,225190,K,삼양옵틱스,사진장비 및 광학기기 제조업,디지털 카메라용 교환렌즈
868,00127042,002170,Y,삼양통상,"가죽, 가방 및 유사제품 제조업","피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역"
869,01060814,272550,Y,삼양패키징,플라스틱제품 제조업,PET 용기 및 아셉틱 OEM
870,00126937,000070,Y,삼양홀딩스,기타 금융업,"지주회사,경영자문컨설팅"
871,00127255,003720,Y,삼영,플라스틱제품 제조업,"합성수지(BOPP,캐파시타),PPC,랩,종이상자(카톤팩) 제조"
872,00127167,002810,Y,삼영무역,기타 전문 도매업,"화공약품, 안경렌즈"
873,00405506,361670,K,삼영에스앤씨,전자부품 제조업,"칩형 온습도센서,상대습도센서,미세먼지센서, 공기질 통합센서 노드 및 트랜스미터"
874,00250614,054540,K,삼영엠텍,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 특수장치, 교량부품"
875,00288343,065570,K,삼영이엔씨,통신 및 방송 장비 제조업,"GMDSS장비, GPS플로터 등"
876,00127200,005680,Y,삼영전자공업,전자부품 제조업,"전자부품(알루미늄 전해콘덴서),전기이중층콘덴서,센서 제조,도매"
877,00191588,023000,Y,삼원강재,자동차 신품 부품 제조업,"열간압연제품(평강,봉강,특수이형강,환강,자동차용 겹판스프링) 제조,판매"
878,00127802,004380,Y,삼익THK,일반 목적용 기계 제조업,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수"
879,00127857,002450,Y,삼익악기,악기 제조업,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매"
880,00127909,032280,K,삼일,도로 화물 운송업,운송 및 하역수입
881,00127936,002290,K,삼일기업공사,건물 건설업,도급공사
882,00109806,004440,Y,삼일씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업","PHC파일, 골재, 강교제작"
883,00128032,000520,Y,삼일제약,의약품 제조업,"양약(부루펜,액티피드,포리부틴) 제조,도매"
884,00128227,009770,Y,삼정펄프,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매"
885,00128315,037460,K,삼지전자,통신 및 방송 장비 제조업,"통신기기,정보기기,BACKLIGHTUNIT사업"
886,00173351,032750,K,삼진,통신 및 방송 장비 제조업,리모컨
887,00239514,054090,K,삼진엘앤디,그외 기타 제품 제조업,"몰드프레임, TFT-LCD BLU"
888,00128412,005500,Y,삼진제약,의약품 제조업,"의약품(게보린,세트라졸,염산나록손) 제조,판매,수출입,약초재배"
889,00128546,000250,K,삼천당제약,의약품 제조업,"하메론, 아토로우"
890,00128555,004690,Y,삼천리,연료용 가스 제조 및 배관공급업,도시가스 공급/부동산 임대
891,00128607,024950,K,삼천리자전거,생활용품 도매업,자전거
892,00239639,038500,K,삼표시멘트,기타 비금속 광물제품 제조업,"시스템통합(SI), 네트워크장비"
893,00128926,017480,K,삼현철강,1차 철강 제조업,"후판,열연후판,산세판박,무늬강판,용단철강,형강외"
894,00128980,010960,Y,삼호개발,기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대"
895,00301112,046390,K,삼화네트웍스,"영화, 비디오물, 방송프로그램 제작 및 배급업","시스템통합(SI), 시스템유지(SM)"
896,00129235,004450,Y,삼화왕관,기타 금속 가공제품 제조업,"납세용 일반병마개,알루미늄캡,플라스틱캡 제조,판매,금속인쇄,수출"
897,00129271,009470,Y,삼화전기,전자부품 제조업,"콘덴서 제조,판매"
898,00129280,011230,Y,삼화전자공업,영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매"
899,00129350,001820,Y,삼화콘덴서공업,전자부품 제조업,콘덴서(축전기) 제조
900,00129387,000390,Y,삼화페인트공업,기타 화학제품 제조업,"건축용페인트,공업용페인트,분체도료 등 제조"
901,00129615,027580,K,상보,플라스틱제품 제조업,"광학필름,윈도우필름,미디어필름"
902,00306162,038540,K,상상인,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT 통합 솔루션
903,00618410,101000,K,상상인인더스트리,특수 목적용 기계 제조업,"선박용 크레인,선박구성부품,선박의장품,철구조물 제조/철판 도매/부동산 임대"
904,01604371,415580,K,상상인제3호스팩,금융 지원 서비스업,기업인수 및 합병
905,00112059,001290,Y,상상인증권,금융 지원 서비스업,유가증권 매매
906,00129642,041650,Y,상신브레이크,자동차 신품 부품 제조업,"자동차 브레이크 슈 어셈블리,브레이크패드 제조/군납업,무역/부동산 임대"
907,00480783,091580,K,상신이디피,일차전지 및 축전지 제조업,2차전지부품
908,00760999,263810,K,상신전자,전자부품 제조업,"노이즈필터(48.81%), 코일(19.33%), 리액터(10.75%)"
909,00181299,089980,K,상아프론테크,플라스틱제품 제조업,"LCD부품,사무기기부품,PCB부품,2차전지부품"
910,00232007,042940,K,상지카일룸,건물 건설업,"건설업, 고급빌라 건축 및 일반 건축, 주택공급 등"
911,00147994,042600,K,새로닉스,전자부품 제조업,"광학시트, FFC"
912,00305668,075180,Y,새론오토모티브,자동차 신품 부품 제조업,"자동차부품(브레이크패드,라이닝)"
913,00862880,107600,K,새빗켐,기타 화학제품 제조업,"폐전지재활용소재, 폐산재활용"
914,01242241,411080,K,샌즈랩,소프트웨어 개발 및 공급업,사이버 위협 인텔리전스(CTI)
915,01199727,252990,K,샘씨엔에스,전자부품 제조업,세라믹 STF(다층 세라믹 기판)
916,00130091,007540,Y,샘표,기타 금융업,"간장,된장,고추장 제조,가공,판매,무역"
917,01167056,248170,Y,샘표식품,기타 식품 제조업,간장
918,01387164,378800,K,샤페론,기초 의약물질 및 생물학적 제제 제조업,합성신약 및 항체치료제신약 기술제품 및 기술이전
919,00867973,294630,K,서남,기타 전기장비 제조업,고온초전도선재
920,00373447,038070,K,서린바이오,기타 전문 도매업,생명과학연구기기및시약
921,00130383,006730,K,서부T&D,일반 및 생활 숙박시설 운영업,석유류판매
922,00130408,079650,K,서산,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘,전주,고강도파일,흄관"
923,00166528,100660,K,서암기계공업,일반 목적용 기계 제조업,"공작기계부품(정밀기어,척),산업기계 제조부동산 임대"
924,00163114,007860,Y,서연,기타 금융업,"자동차부품(승용차내장품-도어트림,헤드라이닝,승용차시트) 제조,도매"
925,01036446,200880,Y,서연이화,자동차 신품 부품 제조업,자동차 도어 트림 및 시트
926,00153278,019770,K,서연탑메탈,특수 목적용 기계 제조업,자동차금형.건설중장비 부품
927,00130684,017390,Y,서울도시가스,연료용 가스 제조 및 배관공급업,"도시가스공급,가스공급설비공사"
928,00305570,043710,K,서울리거,기타 전문 도매업,의약품 도매 및 화장품 도소매
929,00488402,092190,K,서울바이오시스,반도체 제조업,"Visible LED, UV LED"
930,00130763,046890,K,서울반도체,반도체 제조업,"Display, Chip LED, Lamp"
931,00130879,004410,Y,서울식품공업,기타 식품 제조업,"빵,스넥,마아가린,유지류,사료 제조,도매"
932,00410915,063170,K,서울옥션,상품 중개업,미술품경매
933,00130587,027040,K,서울전자통신,기계장비 및 관련 물품 도매업,"전자변성기, 무역업(트랜스포머자재)"
934,00131018,018680,K,서울제약,의약품 제조업,"정제,연질캅셀제,경질캅셀제,연고 및 크림제 등"
